county_tract,count_bagel_shops,rating_num,total_pop,state_county_tract,ALAND_SQMI,bagel_per_capita,bagel_per_capita_sq
047073800,6,3.0,3977.0,36047073800,0.07,1.5086748805632386,1.228281270948653
047076000,6,3.5,2930.0,36047076000,0.07,2.04778156996587,1.431007187251647
081071702,6,3.25,3915.0,36081071702,0.088,1.5325670498084292,1.2379689211803457
081055100,6,3.3333333333333335,4244.0,36081055100,0.06,1.413760603204524,1.1890166538802238
081070900,6,3.2,2869.0,36081070900,0.085,2.0913210177762287,1.4461400408591931
081069702,6,3.75,3518.0,36081069702,0.17,1.7055144968732234,1.3059534818948275
081069500,6,3.25,2211.0,36081069500,0.082,2.7137042062415193,1.6473324516446337
081069300,6,3.25,3151.0,36081069300,0.055,1.904157410345922,1.3799121023985268
081068700,6,3.25,4188.0,36081068700,0.108,1.4326647564469914,1.1969397463728035
061014500,6,3.0,6153.0,36061014500,0.068,0.9751340809361286,0.9874887750937368
061016002,6,3.3333333333333335,3421.0,36061016002,0.02,1.7538731365097924,1.3243387544392833
061015900,6,2.8,9517.0,36061015900,0.068,0.6304507723021961,0.7940093024028094
061015700,6,3.2,9586.0,36061015700,0.07,0.6259127894846651,0.7911465031741373
061015500,6,2.5,10290.0,36061015500,0.076,0.5830903790087464,0.7636035483212126
061015300,6,2.5,9764.0,36061015300,0.067,0.6145022531749283,0.7839019410455165
081065501,6,3.6,0.0,36081065501,0.314,inf,inf
047152200,6,3.1666666666666665,3717.0,36047152200,0.151,1.6142050040355125,1.270513677232761
061014900,6,2.5,4992.0,36061014900,0.067,1.201923076923077,1.0963225241337866
061000201,6,3.5,2750.0,36061000201,0.035,2.181818181818182,1.4770978917519928
047008400,6,3.6,3621.0,36047008400,0.094,1.657000828500414,1.2872454422138826
061010400,6,3.1666666666666665,811.0,36061010400,0.067,7.398273736128237,2.719976789630426
061006900,6,3.8333333333333335,2485.0,36061006900,0.085,2.414486921529175,1.5538619377310119
047048500,6,3.5,2289.0,36047048500,0.224,2.6212319790301444,1.6190219204909315
047039600,6,4.0,2058.0,36047039600,0.063,2.9154518950437316,1.7074694419062766
047041900,6,3.5,3623.0,36047041900,0.059,1.6560861164780567,1.2868900949490818
047042000,6,2.5,1837.0,36047042000,0.065,3.26619488296135,1.8072617084864466
047042100,6,3.6,4259.0,36047042100,0.059,1.408781404085466,1.1869209763440303
081011500,6,3.1666666666666665,2438.0,36081011500,0.072,2.4610336341263332,1.5687681900543284
047042700,6,3.4,4896.0,36047042700,0.057,1.2254901960784315,1.107018606925119
081011700,6,3.1666666666666665,3574.0,36081011700,0.082,1.6787912702853947,1.2956817781713976
047043100,6,3.1666666666666665,4694.0,36047043100,0.065,1.2782275244993608,1.1305872476281345
047043900,6,3.3333333333333335,3515.0,36047043900,0.077,1.7069701280227596,1.3065106689280266
047044200,6,3.0,2945.0,36047044200,0.071,2.0373514431239386,1.4273582042094193
047044500,6,3.1666666666666665,4729.0,36047044500,0.066,1.2687671812222456,1.1263956592699769
061009900,6,3.3333333333333335,5981.0,36061009900,0.387,1.0031767262999498,1.001587103700896
047053900,6,3.6666666666666665,2483.0,36047053900,0.039,2.4164317358034633,1.5544876119813447
047010100,6,3.6,4001.0,36047010100,0.122,1.4996250937265683,1.2245918069816442
047050500,6,3.25,4009.0,36047050500,0.065,1.4966325767024196,1.2233693541618653
047049000,6,3.0,5601.0,36047049000,0.074,1.0712372790573113,1.0350059318947458
047049400,6,3.1666666666666665,5707.0,36047049400,0.071,1.0513404590853337,1.0253489450354614
047053800,6,3.0,5180.0,36047053800,0.063,1.1583011583011582,1.0762440050012627
047050100,6,3.25,3177.0,36047050100,0.067,1.8885741265344667,1.3742540254750817
047050300,6,3.0,2670.0,36047050300,0.048,2.247191011235955,1.4990633779917228
047048800,6,3.1666666666666665,3896.0,36047048800,0.055,1.540041067761807,1.2409839111615457
047052500,6,3.6666666666666665,3270.0,36047052500,0.048,1.834862385321101,1.3545709229571927
081007700,6,3.0,1856.0,36081007700,0.049,3.2327586206896552,1.7979873805701905
047016900,5,3.0,4822.0,36047016900,0.081,1.0369141435089175,1.018289813122432
047018501,5,3.0,4153.0,36047018501,0.043,1.2039489525644114,1.0972460765773608
047018700,5,3.0,1488.0,36047018700,0.033,3.360215053763441,1.8330889377669162
061013700,5,3.2,5994.0,36061013700,0.087,0.8341675008341675,0.9133277072519849
061011201,5,2.8,843.0,36061011201,0.031,5.931198102016607,2.435405120717415
047015200,5,3.0,2499.0,36047015200,0.104,2.000800320128051,1.4144964899666774
